Regulator	Target	Relation	Relation counts
Disease	MethSite	FunctionalAssociation	0
Organ	Organ	FunctionalAssociation	700645
Organ	Virus	FunctionalAssociation	723
Organ	ClinicalParameter	FunctionalAssociation	115338
Organ	CellProcess	FunctionalAssociation	132067
Organ	Organism	FunctionalAssociation	0
Organ	Tissue	FunctionalAssociation	4812
Organ	Treatment	FunctionalAssociation	0
Organ	CellType	FunctionalAssociation	0
Organ	GeneticVariant	FunctionalAssociation	2
Organ	MedicalProcedure	FunctionalAssociation	0
Organ	PhosphoSite	FunctionalAssociation	0
Organ	Hyperlink	FunctionalAssociation	0
Organ	Mutation	FunctionalAssociation	4
Organ	RNA	FunctionalAssociation	0
Organ	Site	FunctionalAssociation	18
Organ	Lysine	FunctionalAssociation	0
Organ	MethSite	FunctionalAssociation	0
Virus	Virus	FunctionalAssociation	2222
Virus	ClinicalParameter	FunctionalAssociation	0
Virus	CellProcess	FunctionalAssociation	12
Virus	Organism	FunctionalAssociation	0
Virus	Tissue	FunctionalAssociation	301
Virus	Treatment	FunctionalAssociation	0
Virus	CellType	FunctionalAssociation	738
Virus	GeneticVariant	FunctionalAssociation	22
Virus	MedicalProcedure	FunctionalAssociation	0
Virus	PhosphoSite	FunctionalAssociation	0
Virus	Hyperlink	FunctionalAssociation	0
Virus	Mutation	FunctionalAssociation	5
Virus	RNA	FunctionalAssociation	0
Virus	Site	FunctionalAssociation	1
Virus	Lysine	FunctionalAssociation	0
Virus	MethSite	FunctionalAssociation	0
ClinicalParameter	ClinicalParameter	FunctionalAssociation	152055
ClinicalParameter	CellProcess	FunctionalAssociation	0
ClinicalParameter	Organism	FunctionalAssociation	0
ClinicalParameter	Tissue	FunctionalAssociation	18459
ClinicalParameter	Treatment	FunctionalAssociation	0
ClinicalParameter	CellType	FunctionalAssociation	0
ClinicalParameter	GeneticVariant	FunctionalAssociation	17624
ClinicalParameter	MedicalProcedure	FunctionalAssociation	0
ClinicalParameter	PhosphoSite	FunctionalAssociation	0
ClinicalParameter	Hyperlink	FunctionalAssociation	0
ClinicalParameter	Mutation	FunctionalAssociation	68
ClinicalParameter	RNA	FunctionalAssociation	0
ClinicalParameter	Site	FunctionalAssociation	132
ClinicalParameter	Lysine	FunctionalAssociation	0
ClinicalParameter	MethSite	FunctionalAssociation	0
CellProcess	CellProcess	FunctionalAssociation	365360
CellProcess	Organism	FunctionalAssociation	0
CellProcess	Tissue	FunctionalAssociation	30059
CellProcess	Treatment	FunctionalAssociation	0
CellProcess	CellType	FunctionalAssociation	5283
CellProcess	GeneticVariant	FunctionalAssociation	13185
CellProcess	MedicalProcedure	FunctionalAssociation	0
CellProcess	PhosphoSite	FunctionalAssociation	0
CellProcess	Hyperlink	FunctionalAssociation	0
CellProcess	Mutation	FunctionalAssociation	462
CellProcess	RNA	FunctionalAssociation	0
CellProcess	Site	FunctionalAssociation	1270
CellProcess	Lysine	FunctionalAssociation	0
CellProcess	MethSite	FunctionalAssociation	0
Organism	Organism	FunctionalAssociation	0
Organism	Tissue	FunctionalAssociation	0
Organism	Treatment	FunctionalAssociation	0
Organism	CellType	FunctionalAssociation	0
Organism	GeneticVariant	FunctionalAssociation	0
Organism	MedicalProcedure	FunctionalAssociation	0
Organism	PhosphoSite	FunctionalAssociation	0
Organism	Hyperlink	FunctionalAssociation	0
Organism	Mutation	FunctionalAssociation	0
Organism	RNA	FunctionalAssociation	0
Organism	Site	FunctionalAssociation	0
Organism	Lysine	FunctionalAssociation	0
Organism	MethSite	FunctionalAssociation	0
Tissue	Tissue	FunctionalAssociation	124521
Tissue	Treatment	FunctionalAssociation	0
Tissue	CellType	FunctionalAssociation	0
Tissue	GeneticVariant	FunctionalAssociation	0
Tissue	MedicalProcedure	FunctionalAssociation	0
Tissue	PhosphoSite	FunctionalAssociation	0
Tissue	Hyperlink	FunctionalAssociation	0
Tissue	Mutation	FunctionalAssociation	1
Tissue	RNA	FunctionalAssociation	0
Tissue	Site	FunctionalAssociation	3
Tissue	Lysine	FunctionalAssociation	0
Tissue	MethSite	FunctionalAssociation	0
Treatment	Treatment	FunctionalAssociation	0
Treatment	CellType	FunctionalAssociation	0
Treatment	GeneticVariant	FunctionalAssociation	0
Treatment	MedicalProcedure	FunctionalAssociation	0
Treatment	PhosphoSite	FunctionalAssociation	0
Treatment	Hyperlink	FunctionalAssociation	0
Treatment	Mutation	FunctionalAssociation	0
Treatment	RNA	FunctionalAssociation	0
Treatment	Site	FunctionalAssociation	0
Treatment	Lysine	FunctionalAssociation	0
Treatment	MethSite	FunctionalAssociation	0
CellType	CellType	FunctionalAssociation	6048
CellType	GeneticVariant	FunctionalAssociation	0
CellType	MedicalProcedure	FunctionalAssociation	0
CellType	PhosphoSite	FunctionalAssociation	0
CellType	Hyperlink	FunctionalAssociation	0
CellType	Mutation	FunctionalAssociation	0
CellType	RNA	FunctionalAssociation	0
CellType	Site	FunctionalAssociation	0
CellType	Lysine	FunctionalAssociation	0
